,South Africa,Algeria,Libya,Morocco,Western Sahara,Sudan,Tunisia,Egypt,North Africa nes,Cameroon,Central Afr Rep,Chad,Congo,Gabon,Ceuca nes,Angola,Br Ind Oc Tr,Burundi,Comoros,Congo Dem Rep,Benin,Eq Guinea,Ethiopia,Fr So Ant Tr,Djibouti,Gambia,Ghana,Guinea,Cote D'Ivoire,Kenya,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Niger,Nigeria,Guinea-Bissau,Reunion,Rwanda,St Helena,Senegal,Seychelles,Sierra Leone,Somalia,Zimbabwe,Togo,Uganda,Tanzania,Burkina Faso,Zambia,Other Africa nes,Canada,USA,Bermuda,Greenland,St Pierre Miqu,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela,Laia nes,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Cacm nes,Bahamas,Barbados,Cayman islds,Cuba,Dominican Rp,Guadeloupe,Haiti,Jamaica,Neth Antilles,St Kitts Nev,Trinidad Tbg,Turks Caicos Isl,Caribbean nes,Belize,Falkland Isl,French Guiana,Guyana,Panama,Suriname,Rest America nes,Israel,Japan,Bahrain,Cyprus,Iran,Iraq,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Fm Dem Yemen,Syrn Arab Rp,Untd Arab Em,Turkey,Fm Yemen,Yemen,Middle East nes,Afghanistan,Bangladesh,Bhutan,Brunei,Myanmar,Cambodia,Sri Lanka,Hong kong,India,Indonesia,Korea Rp,Laos P Dem R,Malaysia,Maldives,Nepal,Pakistan,Philippines,Singapore,Thailand,Taiwan,China,Korea D P Rp,Mongolia,Vietnam,Asia cpe nes,Belgium-Lux,Denmark,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain,UK,EEC nes,Austria,Finland,Iceland,Norway,Sweden,Switzerland,EFTA nes,Gibraltar,Malta,Other Eur nes,Albania,Bulgaria,Fm Czechoslovak,Fm German Dm Rp,Hungary,Poland,Romania,Fm Eur cpe nes,Fm Yugoslavia,Fm USSR,Australia,New Zealand,Solomon Islds,Fiji,Kiribati,New Caledonia,Papua N Guinea,Oth Oceania nes,Areas nes,Unknown partner
      Central Afr Rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Chad,,,,,,,,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421053,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,
      Congo,0.315789,,,,,,,,,,,,,,,,,,,1.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.842105,,,,2.947368,,,,5.631579,,,,,0.631579,,0.421053,,,,,,,0.789474,,,,,,,,,,,,,,,,,
      Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421053,,1.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,3.473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684211,1.315789,,,,0.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.315789,1.105263,,,1.157895,1.578947,,,26.052632,,,,,,,0.842105,,,,,,,,,,,,,,,,,,,,,,,,
      Ceuca nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.473684,,,,,,,,,,,,,,,,,,,,,,,,1.157895,,,,,,,,9.052632,,,,,,,,,,,,,,,,,,,,0.421053,,,,,,,,,,,
      Br Ind Oc Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.263158,,,,,,,,16.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421053,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Congo Dem Rep,,,,,,,,,,,,,1.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842105,,,,,,,,,,,,,,,1.052632,,0.473684,7.052632,,0.947368,,,,,,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,
